included_at,repository_snapshot,relative_path,bytes,sha256,role
2026-08-26,root@0209745adbe9938068e1725084ebccd7c042928f+working-tree,4.pdf,1553884,081e9fb00a63a487c5522bd6bc6d9a6b7cc5ebef0dd1c9de8fba84804befb26d,legacy matched-checkpoint PGS record
2026-08-26,root@0209745adbe9938068e1725084ebccd7c042928f+working-tree,Docs/main.pdf,3069991,4548900d3aacd96ae3936e6f1c7dbe539a326616ec4244a7e8f075e0e8d6f37d,thesis PDF snapshot and historical aggregate tables
2026-08-26,root@0209745adbe9938068e1725084ebccd7c042928f+working-tree,Docs/chapters/Bab4.tex,41276,1d193d567aa95ab52edc3d0e480abcd3fbad5c2e718658e9e9241f9609fbad57,historical results source
2026-08-26,root@0209745adbe9938068e1725084ebccd7c042928f+working-tree,Docs/chapters/Bab5.tex,15010,fbc9785ea17ea10f7920cf221b3ddf112ddd99039b9e2b02b274bb875cb8a615,historical conclusions and claim boundaries
2026-08-26,smartCityReport@e9b19df8a9a20c4274883476a80f0951b10643be+working-tree,notebooks/02_preprocessing.ipynb,17814,fe498573b7d2410dd4503beb8c16098f35fa9f64d97d6b38d3b018288513172e,duplicate-removal implementation
2026-08-26,smartCityReport@e9b19df8a9a20c4274883476a80f0951b10643be+working-tree,notebooks/03_split.ipynb,7909,cc985ffdb15d6d1ffcdf0964638a07e65ee9e348a664e3492d4b3b794a606be8,historical partition implementation
2026-08-26,smartCityReport@e9b19df8a9a20c4274883476a80f0951b10643be+working-tree,notebooks/04_extract_image_embeddings.ipynb,8918,a1da9238083d15b59fad2f1c56a6a5a13612a3a881c7bc7b3eb9d04d8e952267,image-embedding and image-open behavior
2026-08-26,smartCityReport@e9b19df8a9a20c4274883476a80f0951b10643be+working-tree,notebooks/05_extract_text_embeddings.ipynb,5986,ea82f78930204d25b96ae8692ea159b8fb87fa74e5a0a27a22d680d16e2bc584,text-embedding implementation
2026-08-26,smartCityReport@e9b19df8a9a20c4274883476a80f0951b10643be+working-tree,notebooks/06_fusion_catboost_pgs.ipynb,14592,9dfb095941670cf2de4fd628e9e22846db072c2fa2751fb128fc554f003d1ee6,fusion candidate matrix and historical selection
2026-08-26,smartCityReport@e9b19df8a9a20c4274883476a80f0951b10643be+working-tree,notebooks/07_error_analysis.ipynb,11081,3df74804ec39b9e087d24d4045662c4bc3fb38e7c29afd912c5195da7e3ea638,class-level metric record
2026-08-26,smartCityReport@e9b19df8a9a20c4274883476a80f0951b10643be+working-tree,notebooks/08_add_dinov3_ablation.ipynb,18094,6df21dcd005969ab45da71cca8b09d4401e647ae9aa7f3c840ec0811014bf41e,DINOv3 ablation source cells
2026-08-26,smartCityReport@e9b19df8a9a20c4274883476a80f0951b10643be+working-tree,notebooks/09_fusion_catboost_DInov3.ipynb,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,empty notebook retained as negative provenance evidence
2026-08-26,smartCityReport@e9b19df8a9a20c4274883476a80f0951b10643be+working-tree,notebooks/10_sus_usability_analysis.ipynb,209756,0efedbaeb308d23fb62a8f7fc4be0acba16f336b5e20534811caec4ffbc657e8,historical usability analysis
2026-08-26,smartCityReport@e9b19df8a9a20c4274883476a80f0951b10643be+working-tree,configs/q2_experiment.yaml,9250,3a2dddf4ca79e26b26abcc84fa7bdd430c14eda678b66b49c0d7b17fc8489dbe,confirmatory protocol configuration
2026-08-26,smartCityReport@e9b19df8a9a20c4274883476a80f0951b10643be+working-tree,src/crm/experiments/runner.py,104232,274cdc8f1ac107f7046bffa7514297fa501e0097de9138d7320a02994079d42d,experiment orchestration and one-shot test control
2026-08-26,smartCityReport@e9b19df8a9a20c4274883476a80f0951b10643be+working-tree,src/crm/experiments/metrics.py,41783,e4b811c28610dd72c15535f08a30b87a91cfcd2cbadaced3dc390dd020ac951d,cluster inference and calibration metrics
2026-08-26,smartCityReport@e9b19df8a9a20c4274883476a80f0951b10643be+working-tree,tools/build_q2_splits.py,14093,b4ed85768550756bfa3b0cb0617df352fb85c952fda3b15309a3f1bb9c85d3bc,group-temporal split builder
2026-08-26,smartCityReport@e9b19df8a9a20c4274883476a80f0951b10643be+working-tree,tools/q2_readiness.py,217759,9a36a749143022e6f881f1829b92d41a292a142829431d4de9817e881aa3498e,evidence-contract readiness checker
2026-08-26,smartCityReport@e9b19df8a9a20c4274883476a80f0951b10643be+working-tree,serve_model.py,50987,b78a75cedba22d2f70459f61d8e8d275991b3ce22278532f3bd81f549f742e90,inference API and response contract
2026-08-26,smartCityReport@e9b19df8a9a20c4274883476a80f0951b10643be+working-tree,smart_city_reporter_app/lib/core/services/cloud_classification_service.dart,13983,8e2bee089e5dbad86ca9faa37542020904dffb5b11ffb4d3d8d797f0a2fc7efb,client inference transport and storage sanitization
2026-08-26,smartCityReport@e9b19df8a9a20c4274883476a80f0951b10643be+working-tree,smart_city_reporter_app/lib/features/reports/reports_repository.dart,12564,3510795c4536040602f45d1e6940df412b7802648027780a420c8523f66021af,client persistence and assignment fields
2026-08-26,smartCityReport@e9b19df8a9a20c4274883476a80f0951b10643be+working-tree,smart_city_reporter_app/supabase/schema.sql,69971,241651854321bbb2e2217564c960e24bd07d7755186bcc31a52e7b4780642bfd,database schema RLS and privileged procedure
